ip,360风险值,国家,省/州,城市,区/县,乡镇,纬度,经度,AS号,是否IDC,是否代理,代理类型,最近代理时间,用户类型,最近7天平均终端数,最近解析域名,最近解析域名时间,服务提供商,是否有恶意行为,最近恶意行为时间,是否botnet,botnet家族,最近botnet时间,是否brute_force,最近brute_force时间,是否ddos,最近ddos时间,ddos主/被动,ddos置信度,是否scanner,最近scanner时间,scanner置信度,是否spam,最近spam时间,是否有恶意行为
49.67.190.143,2,中国,江苏,南通,,,32.016212,120.864608,AS4134,false,false,,,境内家庭,,xuhaibing.dahuaddns.com,2017-02-14,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-11,false,,,false,,true,2018-02-03,active,40%,false,,,true,2018-04-11,1
42.57.18.123,1,中国,辽宁,抚顺,,,41.875956,123.921109,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-01-03,true,"Zbot,MinerdPool",2018-01-03,false,,true,2016-04-17,active,40%,false,,,false,,1
58.208.106.124,0,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,szking2011.gicp.net,2016-03-22,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-02-03,false,,,false,,true,2017-02-03,active,40%,false,,,false,,1
60.168.179.13,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,true,false,,,境内IDC,,miniherry.gnway.cc,2017-11-10,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-11-04,false,,,false,,true,2016-11-08,active,40%,false,,,true,2017-11-04,1
36.7.103.198,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,hfzlbz.gnway.cc,2017-08-12,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-04,false,,,false,,true,2016-03-08,active,40%,false,,,true,2018-04-04,1
49.75.39.14,0,中国,江苏,苏州,,,31.299379,120.619585,AS4134,true,false,,,境内IDC,,9002a9d024a5.dahuaddns.com,2018-01-27,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-02-23,false,,,false,,true,2017-02-23,active,40%,true,2016-12-13,80%,false,,1
36.33.25.136,2,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2017-08-31,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-07,false,,,false,,true,2016-09-25,active,40%,false,,,true,2018-04-07,1
1.193.251.249,1,中国,河南,濮阳,,,35.768234,115.041299,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-08,false,,,false,,true,2018-04-08,passive,80%,true,2017-03-16,80%,false,,1
27.209.84.158,0,中国,山东,滨州,,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2016-04-16,false,,,false,,true,2016-04-16,active,40%,false,,,false,,1
42.202.41.12,0,中国,辽宁,鞍山,,,41.110626,122.995632,AS4134,false,false,,,境内家庭,,fzd.f3322.net,2016-08-28,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2016-04-16,false,,,false,,true,2016-04-16,active,40%,false,,,false,,1
36.7.103.201,1,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-01-15,false,,,false,,true,2017-02-26,active,40%,false,,,true,2018-01-15,1
49.67.190.233,2,中国,江苏,南通,如皋市,长江镇,32.016212,120.864608,AS4134,false,false,,,境内家庭,1~20,gqyyt.dvr168.org,2017-11-25,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2018-04-04,true,Artemis,2018-03-02,false,,true,2015-12-02,active,40%,false,,,true,2018-04-04,1
58.208.136.100,0,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-09-27,true,Artemis,2017-09-27,false,,true,2017-05-04,active,40%,false,,,false,,1
60.168.179.21,0,中国,安徽,合肥,,,31.86119,117.283042,AS4134,false,false,,,境内家庭,,hfbgjc1.f3322.org,2016-12-27,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-09-22,false,,,false,,true,2016-08-04,active,40%,false,,,true,2017-09-22,1
49.75.39.25,1,中国,江苏,苏州,,,31.299379,120.619585,AS4134,false,false,,,境内家庭,1~20,4c11bf37c1b4.dahuaddns.com,2016-12-24,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-11-19,true,CVE-2012-0158,2017-10-18,false,,true,2017-11-19,active,40%,false,,,false,,1
36.33.25.138,3,中国,安徽,合肥,,,31.86119,117.283042,AS4837,false,true,http,2018-02-16,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2018-04-17,true,Ramnit,2017-11-23,false,,true,2015-12-18,active,40%,true,2017-03-23,80%,true,2018-04-17,1
1.194.85.51,1,中国,河南,洛阳,,,34.663041,112.434468,AS4134,false,false,,,境内家庭,,0769mxlldgf.secros.net,2016-05-07,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-11-06,false,,,false,,true,2017-11-06,active,40%,false,,,false,,1
27.209.84.231,0,中国,山东,滨州,,,37.383542,118.016974,AS4837,false,false,,,境内家庭,1~20,,,CHINA UNICOM China169 Backbone,true,2017-04-14,true,Trojan,2017-04-14,false,,true,2016-12-22,passive,40%,true,2017-01-05,80%,false,,1
42.203.255.204,1,中国,辽宁,本溪,,,41.297909,123.770519,AS4134,false,false,,,境内家庭,1~20,,,"CHINANET-BACKBONE No.31,Jin-rong Street",true,2017-12-13,true,MinerdPool,2017-12-13,false,,true,2016-05-05,active,40%,false,,,false,,1
